championnats,club,gp,rank 1,rank 2,rank 3,points
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D1 Homme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D1 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Femme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
D2 Homme,,,,,,
